comm_type,matrix_size,num_procs,nodes,environment,total_time_mean,total_time_std,comm_time_mean,comm_time_std,comp_time_mean,comp_time_std,repetitions
collective,512,32,4,713287,0.115843,0.001631,0.106841,0.002896,0.012946,0.004674,3
collective,1024,32,4,713287,0.256726,0.037994,0.146982,0.036089,0.140013,0.038703,3
collective,2048,32,4,713287,3.075765,0.036081,0.377614,0.077096,2.917098,0.038092,3
sync,512,32,4,713287,0.202420,0.005148,0.192647,0.005166,0.016359,0.005547,3
sync,1024,32,4,713287,0.355460,0.036563,0.261435,0.050117,0.143343,0.037193,3
sync,2048,32,4,713287,3.161057,0.034222,0.553387,0.083740,2.908943,0.033421,3
async,512,32,4,713287,0.123232,0.004276,0.117968,0.003770,0.013386,0.005267,3
async,1024,32,4,713287,0.228986,0.003052,0.129086,0.001620,0.118934,0.003681,3
async,2048,32,4,713287,3.095212,0.056412,0.484268,0.021555,2.949052,0.061728,3
async_new,512,32,4,713287,0.112550,0.000921,0.109292,0.004649,0.010248,0.000103,3
async_new,1024,32,4,713287,0.231658,0.003433,0.123132,0.005726,0.120230,0.007193,3
async_new,2048,32,4,713287,3.044789,0.014096,0.356574,0.049813,2.895568,0.025799,3
