comm_type,matrix_size,num_procs,nodes,environment,total_time_mean,total_time_std,comm_time_mean,comm_time_std,comp_time_mean,comp_time_std,repetitions
collective,4096,64,4,713327,15.433353,0.048844,0.828589,0.126298,15.008808,0.033870,3
collective,8192,64,4,713327,130.430201,1.137960,7.380637,1.521347,129.388240,0.974828,3
sync,4096,64,4,713327,15.622231,0.035496,1.102636,0.059562,14.999462,0.049233,3
sync,8192,64,4,713327,129.171038,2.339190,6.341089,1.747932,127.988769,2.384518,3
async,4096,64,4,713327,15.822202,0.386041,1.326725,0.329811,15.203347,0.445075,3
async,8192,64,4,713327,131.661153,2.002956,10.027292,1.236137,129.984632,2.167179,3
async_new,4096,64,4,713327,15.601676,0.060905,0.869908,0.103324,15.004576,0.075824,3
async_new,8192,64,4,713327,130.972693,2.695801,6.118624,1.414603,129.294826,2.356840,3
