sort_method,input_file,N,task_threshold,omp_num_threads,repetitions,mean_time,std_deviation,individual_times
bitonic_parallel,in_1.in,1,2048,40,5,0.001680,0.000067,"[0.001698, 0.00166, 0.001612, 0.001643, 0.001785]"
bitonic_parallel,in_1.in,1,4096,40,5,0.002201,0.001214,"[0.004365, 0.001796, 0.001511, 0.001641, 0.001691]"
bitonic_parallel,in_2.in,2,1024,1,5,0.000009,0.000002,"[8e-06, 7e-06, 9e-06, 7e-06, 1.3e-05]"
bitonic_parallel,in_2.in,2,2048,1,5,0.000010,0.000003,"[1.3e-05, 6e-06, 9e-06, 9e-06, 1.3e-05]"
bitonic_parallel,in_2.in,2,4096,1,5,0.000009,0.000003,"[6e-06, 9e-06, 9e-06, 6e-06, 1.3e-05]"
bitonic_parallel,in_2.in,2,1024,2,5,0.000086,0.000010,"[8.5e-05, 9.3e-05, 8.4e-05, 9.6e-05, 7.1e-05]"
bitonic_parallel,in_2.in,2,2048,2,5,0.000096,0.000047,"[0.000177, 6.6e-05, 8.8e-05, 6.3e-05, 8.5e-05]"
bitonic_parallel,in_2.in,2,4096,2,5,0.000079,0.000009,"[8.4e-05, 8.7e-05, 8.4e-05, 6.7e-05, 7.2e-05]"
bitonic_parallel,in_2.in,2,1024,5,5,0.000211,0.000021,"[0.000211, 0.000207, 0.000201, 0.000189, 0.000246]"
bitonic_parallel,in_2.in,2,2048,5,5,0.000234,0.000035,"[0.000233, 0.000216, 0.000211, 0.000216, 0.000295]"
bitonic_parallel,in_2.in,2,4096,5,5,0.000238,0.000035,"[0.000204, 0.000278, 0.000218, 0.000273, 0.000215]"
bitonic_parallel,in_2.in,2,1024,10,5,0.000472,0.000062,"[0.000464, 0.00056, 0.000406, 0.000425, 0.000504]"
bitonic_parallel,in_2.in,2,2048,10,5,0.000471,0.000054,"[0.000432, 0.000487, 0.000407, 0.000485, 0.000546]"
bitonic_parallel,in_2.in,2,4096,10,5,0.000672,0.000408,"[0.001392, 0.000458, 0.000607, 0.000478, 0.000426]"
