sort_method,input_file,N,task_threshold,omp_num_threads,repetitions,mean_time,std_deviation,individual_times
bitonic_parallel,in_1.in,1,2048,40,5,0.002117,0.000232,"[0.00187, 0.001962, 0.002125, 0.002151, 0.002475]"
bitonic_parallel,in_1.in,1,4096,40,5,0.002169,0.000372,"[0.002035, 0.002807, 0.001961, 0.001879, 0.002161]"
bitonic_parallel,in_2.in,2,1024,1,5,0.000009,0.000004,"[1.5e-05, 6e-06, 1.3e-05, 5e-06, 8e-06]"
bitonic_parallel,in_2.in,2,2048,1,5,0.000012,0.000006,"[6e-06, 8e-06, 2e-05, 1.8e-05, 8e-06]"
bitonic_parallel,in_2.in,2,4096,1,5,0.000006,0.000001,"[6e-06, 6e-06, 6e-06, 7e-06, 7e-06]"
bitonic_parallel,in_2.in,2,1024,2,5,0.000071,0.000005,"[7.3e-05, 7.9e-05, 6.7e-05, 6.8e-05, 6.8e-05]"
bitonic_parallel,in_2.in,2,2048,2,5,0.000087,0.000028,"[8.8e-05, 6.8e-05, 8e-05, 0.000135, 6.5e-05]"
bitonic_parallel,in_2.in,2,4096,2,5,0.000083,0.000025,"[6.9e-05, 7e-05, 7.3e-05, 0.000128, 7.5e-05]"
bitonic_parallel,in_2.in,2,1024,5,5,0.000249,0.000040,"[0.0002, 0.00023, 0.000255, 0.000249, 0.00031]"
bitonic_parallel,in_2.in,2,2048,5,5,0.000248,0.000048,"[0.00024, 0.000206, 0.000331, 0.000232, 0.000231]"
bitonic_parallel,in_2.in,2,4096,5,5,0.000263,0.000071,"[0.000221, 0.000217, 0.000388, 0.000239, 0.000252]"
bitonic_parallel,in_2.in,2,1024,10,5,0.000455,0.000063,"[0.00043, 0.000428, 0.000436, 0.000414, 0.000566]"
bitonic_parallel,in_2.in,2,2048,10,5,0.000591,0.000258,"[0.000446, 0.000569, 0.000427, 0.001042, 0.00047]"
bitonic_parallel,in_2.in,2,4096,10,5,0.000497,0.000093,"[0.000616, 0.000435, 0.000443, 0.000413, 0.000578]"
bitonic_parallel,in_2.in,2,1024,20,5,0.000944,0.000085,"[0.001084, 0.000912, 0.000957, 0.000869, 0.000897]"
bitonic_parallel,in_2.in,2,2048,20,5,0.000909,0.000023,"[0.000878, 0.000897, 0.00091, 0.00094, 0.00092]"
bitonic_parallel,in_2.in,2,4096,20,5,0.000949,0.000061,"[0.000928, 0.000922, 0.001, 0.000872, 0.001022]"
bitonic_parallel,in_2.in,2,1024,40,5,0.002065,0.000234,"[0.002477, 0.001952, 0.001913, 0.002021, 0.00196]"
bitonic_parallel,in_2.in,2,2048,40,5,0.002049,0.000119,"[0.001987, 0.001988, 0.002232, 0.001934, 0.002102]"
bitonic_parallel,in_2.in,2,4096,40,5,0.001985,0.000133,"[0.001938, 0.001908, 0.001923, 0.001935, 0.002223]"
bitonic_parallel,in_4.in,4,1024,1,5,0.000011,0.000006,"[1.4e-05, 7e-06, 7e-06, 2e-05, 7e-06]"
bitonic_parallel,in_4.in,4,2048,1,5,0.000014,0.000005,"[1.4e-05, 1.4e-05, 2e-05, 1.4e-05, 7e-06]"
bitonic_parallel,in_4.in,4,4096,1,5,0.000011,0.000005,"[7e-06, 8e-06, 1.5e-05, 7e-06, 1.9e-05]"
bitonic_parallel,in_4.in,4,1024,2,5,0.000112,0.000036,"[0.000139, 7.6e-05, 6.8e-05, 0.000136, 0.000139]"
