input_file,N,task_threshold,omp_num_threads,repetitions,mean_time,std_deviation,individual_times
in_262144.in,262144,1024,4,5,0.101038,0.000351,"[0.101185, 0.10091, 0.100653, 0.100875, 0.101567]"
in_262144.in,262144,2048,4,5,0.101051,0.000762,"[0.100133, 0.101847, 0.101554, 0.100351, 0.101372]"
in_262144.in,262144,4096,4,5,0.098058,0.006011,"[0.101981, 0.100424, 0.101083, 0.099359, 0.087443]"
in_262144.in,262144,1024,8,5,0.074771,0.001100,"[0.073446, 0.075882, 0.074111, 0.074491, 0.075927]"
in_262144.in,262144,2048,8,5,0.074832,0.002191,"[0.076725, 0.074652, 0.071754, 0.077124, 0.073906]"
in_262144.in,262144,4096,8,5,0.073847,0.001284,"[0.072862, 0.075972, 0.073822, 0.073785, 0.072796]"
in_524288.in,524288,1024,1,5,0.521717,0.005236,"[0.518734, 0.520887, 0.519614, 0.518426, 0.530926]"
in_524288.in,524288,2048,1,5,0.521399,0.004685,"[0.523778, 0.520933, 0.515033, 0.527593, 0.519658]"
in_524288.in,524288,4096,1,5,0.523052,0.005540,"[0.521952, 0.520888, 0.518819, 0.520849, 0.532753]"
in_524288.in,524288,1024,2,5,0.289650,0.001508,"[0.288371, 0.290379, 0.291279, 0.287751, 0.290471]"
in_524288.in,524288,2048,2,5,0.291746,0.003155,"[0.29686, 0.290534, 0.292564, 0.289827, 0.288947]"
in_524288.in,524288,4096,2,5,0.289812,0.001527,"[0.287777, 0.289017, 0.290197, 0.291876, 0.290193]"
in_524288.in,524288,1024,4,5,0.223520,0.009509,"[0.240514, 0.219412, 0.219169, 0.219824, 0.218679]"
in_524288.in,524288,2048,4,5,0.206174,0.019840,"[0.183801, 0.185149, 0.22231, 0.219895, 0.219713]"
in_524288.in,524288,4096,4,5,0.219564,0.001190,"[0.21907, 0.217807, 0.220873, 0.219738, 0.22033]"
in_524288.in,524288,1024,8,5,0.157544,0.003627,"[0.162707, 0.158418, 0.157482, 0.152639, 0.156476]"
in_524288.in,524288,2048,8,5,0.158749,0.009644,"[0.162887, 0.172989, 0.150158, 0.149954, 0.157759]"
in_524288.in,524288,4096,8,5,0.161432,0.002556,"[0.162293, 0.163658, 0.159327, 0.158154, 0.163726]"
in_1048576.in,1048576,1024,1,5,1.146708,0.009938,"[1.160163, 1.149228, 1.148117, 1.14324, 1.132791]"
in_1048576.in,1048576,2048,1,5,1.143688,0.006952,"[1.141875, 1.153731, 1.134435, 1.145432, 1.142969]"
in_1048576.in,1048576,4096,1,5,1.140007,0.003943,"[1.13531, 1.141253, 1.136384, 1.143086, 1.144004]"
in_1048576.in,1048576,1024,2,5,0.634894,0.004209,"[0.631497, 0.641801, 0.631612, 0.634137, 0.635421]"
in_1048576.in,1048576,2048,2,5,0.632237,0.003727,"[0.630881, 0.637698, 0.628129, 0.634114, 0.630365]"
in_1048576.in,1048576,4096,2,5,0.634945,0.004587,"[0.63636, 0.641937, 0.631227, 0.630546, 0.634655]"
in_1048576.in,1048576,1024,4,5,0.473039,0.003433,"[0.475578, 0.472988, 0.475315, 0.46718, 0.474132]"
in_1048576.in,1048576,2048,4,5,0.496882,0.040151,"[0.475466, 0.568343, 0.481189, 0.484546, 0.474867]"
in_1048576.in,1048576,4096,4,5,0.478187,0.004101,"[0.476443, 0.474502, 0.476492, 0.485097, 0.478402]"
in_1048576.in,1048576,1024,8,5,0.352083,0.012515,"[0.365717, 0.34626, 0.33409, 0.353231, 0.361116]"
in_1048576.in,1048576,2048,8,5,0.349264,0.013506,"[0.35772, 0.3674, 0.340671, 0.333431, 0.347097]"
in_1048576.in,1048576,4096,8,5,0.354320,0.018962,"[0.33943, 0.339666, 0.383529, 0.34587, 0.363104]"
in_2097152.in,2097152,1024,1,5,2.491526,0.019713,"[2.521107, 2.477953, 2.49567, 2.469725, 2.493173]"
in_2097152.in,2097152,2048,1,5,2.488426,0.008087,"[2.486081, 2.488967, 2.487127, 2.501142, 2.478812]"
in_2097152.in,2097152,4096,1,5,2.485855,0.012289,"[2.505827, 2.477321, 2.477691, 2.478727, 2.489711]"
in_2097152.in,2097152,1024,2,5,1.378489,0.013164,"[1.369881, 1.382636, 1.390862, 1.38898, 1.360085]"
in_2097152.in,2097152,2048,2,5,1.373021,0.006795,"[1.366899, 1.373489, 1.370096, 1.384439, 1.370184]"
in_2097152.in,2097152,4096,2,5,1.379922,0.012233,"[1.385846, 1.378411, 1.362508, 1.395734, 1.377112]"
in_2097152.in,2097152,1024,4,5,1.004666,0.086087,"[1.0308, 1.026147, 0.85585, 1.030442, 1.08009]"
in_2097152.in,2097152,2048,4,5,1.055547,0.043769,"[1.024246, 1.045376, 1.041008, 1.034563, 1.13254]"
in_2097152.in,2097152,4096,4,5,1.042827,0.028474,"[1.035494, 1.032804, 1.093244, 1.025782, 1.026812]"
in_2097152.in,2097152,1024,8,5,0.742435,0.016906,"[0.747291, 0.766362, 0.719691, 0.741825, 0.737005]"
in_2097152.in,2097152,2048,8,5,0.742913,0.024468,"[0.740596, 0.780124, 0.750632, 0.725926, 0.717289]"
in_2097152.in,2097152,4096,8,5,0.737199,0.017678,"[0.749487, 0.70866, 0.737918, 0.754003, 0.735925]"
in_4194304.in,4194304,1024,1,5,5.409244,0.024245,"[5.426999, 5.372984, 5.42386, 5.395376, 5.427001]"
in_4194304.in,4194304,2048,1,5,5.387975,0.018082,"[5.364355, 5.399291, 5.374441, 5.408137, 5.393653]"
in_4194304.in,4194304,4096,1,5,5.402884,0.022399,"[5.387631, 5.390796, 5.418946, 5.434081, 5.382965]"
in_4194304.in,4194304,1024,2,5,2.974879,0.006761,"[2.978296, 2.978858, 2.971155, 2.98125, 2.964836]"
in_4194304.in,4194304,2048,2,5,2.977472,0.009976,"[2.981251, 2.992703, 2.96916, 2.968551, 2.975697]"
in_4194304.in,4194304,4096,2,5,2.971510,0.016364,"[2.957203, 2.970689, 2.980154, 2.95513, 2.994373]"
in_4194304.in,4194304,1024,4,5,2.222583,0.014835,"[2.247397, 2.225398, 2.213785, 2.212194, 2.214141]"
in_4194304.in,4194304,2048,4,5,2.271815,0.109017,"[2.23008, 2.221194, 2.222817, 2.466675, 2.218309]"
in_4194304.in,4194304,4096,4,5,2.226469,0.007873,"[2.226113, 2.216972, 2.237767, 2.229547, 2.221944]"
in_4194304.in,4194304,1024,8,5,1.631733,0.121831,"[1.5814, 1.533456, 1.84279, 1.619011, 1.582007]"
in_4194304.in,4194304,2048,8,5,1.627373,0.040571,"[1.59674, 1.646723, 1.607274, 1.689835, 1.596295]"
in_4194304.in,4194304,4096,8,5,1.602975,0.020689,"[1.583712, 1.589127, 1.633723, 1.594128, 1.614184]"
in_8388608.in,8388608,1024,1,5,11.744546,0.100358,"[11.919623, 11.679886, 11.682556, 11.705521, 11.735142]"
in_8388608.in,8388608,2048,1,5,11.772825,0.150847,"[12.004744, 11.848386, 11.670666, 11.67218, 11.668149]"
in_8388608.in,8388608,4096,1,5,11.582077,0.034189,"[11.619509, 11.555765, 11.581391, 11.541313, 11.612407]"
in_8388608.in,8388608,1024,2,5,6.423144,0.027531,"[6.411165, 6.401499, 6.469354, 6.406719, 6.426985]"
in_8388608.in,8388608,2048,2,5,6.409984,0.010607,"[6.407189, 6.426143, 6.405657, 6.39767, 6.413263]"
in_8388608.in,8388608,4096,2,5,6.400045,0.013957,"[6.391793, 6.400335, 6.397602, 6.423288, 6.387208]"
in_8388608.in,8388608,1024,4,5,4.754643,0.047394,"[4.775548, 4.767289, 4.77459, 4.78516, 4.670628]"
in_8388608.in,8388608,2048,4,5,4.615110,0.373844,"[4.81362, 4.782653, 4.752628, 3.947477, 4.77917]"
in_8388608.in,8388608,4096,4,5,4.789518,0.022125,"[4.773274, 4.811016, 4.781334, 4.766892, 4.815074]"
in_8388608.in,8388608,1024,8,5,3.446962,0.067131,"[3.427152, 3.358358, 3.430181, 3.538411, 3.480709]"
in_8388608.in,8388608,2048,8,5,3.396890,0.065874,"[3.332923, 3.319822, 3.464939, 3.429379, 3.437388]"
in_8388608.in,8388608,4096,8,5,3.459755,0.061047,"[3.494763, 3.539211, 3.410165, 3.464766, 3.38987]"
