input_file,N,task_threshold,omp_num_threads,repetitions,mean_time,std_deviation,individual_times
in_8.in,8,1024,4,5,0.000039,0.000004,"[4.2e-05, 3.7e-05, 4.4e-05, 3.5e-05, 3.6e-05]"
in_8.in,8,2048,4,5,0.000038,0.000003,"[3.3e-05, 3.9e-05, 4.2e-05, 3.6e-05, 3.9e-05]"
in_8.in,8,4096,4,5,0.000045,0.000016,"[3.9e-05, 3.3e-05, 4.4e-05, 3.6e-05, 7.2e-05]"
in_8.in,8,1024,8,5,0.000071,0.000006,"[6.4e-05, 7.8e-05, 7.1e-05, 7.6e-05, 6.7e-05]"
in_8.in,8,2048,8,5,0.000064,0.000003,"[6.4e-05, 6e-05, 6.8e-05, 6.7e-05, 6.2e-05]"
in_8.in,8,4096,8,5,0.000067,0.000006,"[7.6e-05, 6.7e-05, 6.6e-05, 6e-05, 6.4e-05]"
in_16.in,16,1024,1,5,0.000006,0.000001,"[6e-06, 8e-06, 5e-06, 7e-06, 6e-06]"
in_16.in,16,2048,1,5,0.000006,0.000000,"[6e-06, 6e-06, 6e-06, 6e-06, 6e-06]"
in_16.in,16,4096,1,5,0.000006,0.000001,"[6e-06, 5e-06, 7e-06, 7e-06, 6e-06]"
in_16.in,16,1024,2,5,0.000031,0.000003,"[3.3e-05, 3.5e-05, 3.1e-05, 2.9e-05, 2.9e-05]"
in_16.in,16,2048,2,5,0.000030,0.000004,"[2.7e-05, 2.9e-05, 3.1e-05, 2.7e-05, 3.6e-05]"
in_16.in,16,4096,2,5,0.000029,0.000004,"[2.5e-05, 3e-05, 3.3e-05, 2.5e-05, 3.1e-05]"
in_16.in,16,1024,4,5,0.000036,0.000002,"[3.9e-05, 3.6e-05, 3.5e-05, 3.5e-05, 3.7e-05]"
in_16.in,16,2048,4,5,0.000038,0.000010,"[3.1e-05, 5.5e-05, 3.6e-05, 3.5e-05, 3.4e-05]"
in_16.in,16,4096,4,5,0.000033,0.000002,"[3.5e-05, 3.3e-05, 3.5e-05, 3.1e-05, 3.2e-05]"
in_16.in,16,1024,8,5,0.000066,0.000005,"[5.8e-05, 6.9e-05, 7.1e-05, 6.3e-05, 6.9e-05]"
in_16.in,16,2048,8,5,0.000076,0.000017,"[6.5e-05, 6.6e-05, 7.3e-05, 7e-05, 0.000105]"
in_16.in,16,4096,8,5,0.000065,0.000004,"[6.6e-05, 7.2e-05, 6.3e-05, 6.1e-05, 6.3e-05]"
in_32.in,32,1024,1,5,0.000011,0.000002,"[9e-06, 1.4e-05, 1.1e-05, 1.1e-05, 1e-05]"
in_32.in,32,2048,1,5,0.000010,0.000001,"[1e-05, 8e-06, 1.1e-05, 1e-05, 9e-06]"
in_32.in,32,4096,1,5,0.000009,0.000001,"[9e-06, 8e-06, 1e-05, 9e-06, 8e-06]"
in_32.in,32,1024,2,5,0.000032,0.000002,"[3.2e-05, 3.4e-05, 3.5e-05, 3.1e-05, 3e-05]"
in_32.in,32,2048,2,5,0.000033,0.000004,"[3e-05, 3.1e-05, 3.8e-05, 3.7e-05, 3e-05]"
in_32.in,32,4096,2,5,0.000032,0.000002,"[2.9e-05, 3.4e-05, 3.2e-05, 3.1e-05, 3.2e-05]"
in_32.in,32,1024,4,5,0.000039,0.000003,"[4.1e-05, 4.1e-05, 4.1e-05, 3.6e-05, 3.5e-05]"
in_32.in,32,2048,4,5,0.000038,0.000003,"[3.5e-05, 3.7e-05, 4e-05, 4.3e-05, 3.6e-05]"
in_32.in,32,4096,4,5,0.000040,0.000006,"[3.7e-05, 4.8e-05, 4e-05, 3.3e-05, 4e-05]"
in_32.in,32,1024,8,5,0.000067,0.000003,"[6.9e-05, 6.5e-05, 6.4e-05, 7e-05, 6.5e-05]"
in_32.in,32,2048,8,5,0.000068,0.000007,"[6.6e-05, 6.7e-05, 7.9e-05, 6.5e-05, 6.1e-05]"
in_32.in,32,4096,8,5,0.000063,0.000005,"[6.2e-05, 7.2e-05, 6.2e-05, 6.1e-05, 5.9e-05]"
in_64.in,64,1024,1,5,0.000016,0.000001,"[1.5e-05, 1.8e-05, 1.6e-05, 1.6e-05, 1.6e-05]"
in_64.in,64,2048,1,5,0.000016,0.000001,"[1.6e-05, 1.7e-05, 1.6e-05, 1.6e-05, 1.5e-05]"
in_64.in,64,4096,1,5,0.000016,0.000000,"[1.6e-05, 1.6e-05, 1.6e-05, 1.6e-05, 1.5e-05]"
in_64.in,64,1024,2,5,0.000040,0.000004,"[3.8e-05, 4.6e-05, 3.8e-05, 4.3e-05, 3.6e-05]"
in_64.in,64,2048,2,5,0.000040,0.000004,"[4e-05, 3.9e-05, 4.7e-05, 3.8e-05, 3.8e-05]"
in_64.in,64,4096,2,5,0.000038,0.000003,"[3.5e-05, 3.7e-05, 4.2e-05, 3.7e-05, 4.1e-05]"
in_64.in,64,1024,4,5,0.000049,0.000008,"[4.4e-05, 6.1e-05, 4.5e-05, 5.3e-05, 4.4e-05]"
in_64.in,64,2048,4,5,0.000047,0.000003,"[4.4e-05, 4.4e-05, 5e-05, 4.9e-05, 4.9e-05]"
in_64.in,64,4096,4,5,0.000047,0.000004,"[4.5e-05, 5.2e-05, 5.1e-05, 4.4e-05, 4.5e-05]"
in_64.in,64,1024,8,5,0.000072,0.000005,"[7.3e-05, 6.5e-05, 7.6e-05, 7e-05, 7.6e-05]"
in_64.in,64,2048,8,5,0.000068,0.000003,"[6.4e-05, 6.8e-05, 7.1e-05, 6.8e-05, 6.7e-05]"
in_64.in,64,4096,8,5,0.000077,0.000009,"[7.5e-05, 7e-05, 8.7e-05, 8.6e-05, 6.6e-05]"
in_128.in,128,1024,1,5,0.000033,0.000002,"[3.2e-05, 3.7e-05, 3.3e-05, 3.3e-05, 3.2e-05]"
in_128.in,128,2048,1,5,0.000033,0.000001,"[3.2e-05, 3.5e-05, 3.4e-05, 3.3e-05, 3.3e-05]"
in_128.in,128,4096,1,5,0.000033,0.000001,"[3.2e-05, 3.5e-05, 3.2e-05, 3.3e-05, 3.3e-05]"
in_128.in,128,1024,2,5,0.000058,0.000003,"[5.4e-05, 6.2e-05, 6.1e-05, 5.6e-05, 5.6e-05]"
in_128.in,128,2048,2,5,0.000062,0.000003,"[6.2e-05, 6.5e-05, 6.3e-05, 5.6e-05, 6.2e-05]"
in_128.in,128,4096,2,5,0.000062,0.000003,"[6.2e-05, 6.5e-05, 6.4e-05, 5.8e-05, 6e-05]"
in_128.in,128,1024,4,5,0.000064,0.000003,"[6.5e-05, 6.9e-05, 6e-05, 6.2e-05, 6.3e-05]"
in_128.in,128,2048,4,5,0.000063,0.000005,"[5.9e-05, 6.6e-05, 6.9e-05, 6e-05, 5.9e-05]"
in_128.in,128,4096,4,5,0.000064,0.000003,"[6.1e-05, 6.4e-05, 6.8e-05, 6.7e-05, 6.1e-05]"
in_128.in,128,1024,8,5,0.000085,0.000005,"[8.3e-05, 8.4e-05, 9.4e-05, 8e-05, 8.2e-05]"
in_128.in,128,2048,8,5,0.000090,0.000007,"[8.2e-05, 0.000101, 8.8e-05, 9.2e-05, 8.8e-05]"
in_128.in,128,4096,8,5,0.000089,0.000006,"[8.2e-05, 9.8e-05, 8.6e-05, 9.1e-05, 8.8e-05]"
in_256.in,256,1024,1,5,0.000073,0.000002,"[7.2e-05, 7.5e-05, 7.2e-05, 7.3e-05, 7.1e-05]"
in_256.in,256,2048,1,5,0.000072,0.000001,"[7.1e-05, 7.2e-05, 7.2e-05, 7.2e-05, 7.1e-05]"
in_256.in,256,4096,1,5,0.000072,0.000001,"[7.2e-05, 7.2e-05, 7.3e-05, 7.1e-05, 7.2e-05]"
in_256.in,256,1024,2,5,0.000097,0.000004,"[9.8e-05, 0.000102, 9.6e-05, 9.2e-05, 9.9e-05]"
in_256.in,256,2048,2,5,0.000094,0.000001,"[9.5e-05, 9.4e-05, 9.4e-05, 9.2e-05, 9.3e-05]"
in_256.in,256,4096,2,5,0.000100,0.000002,"[9.9e-05, 9.8e-05, 0.000103, 0.000102, 9.9e-05]"
in_256.in,256,1024,4,5,0.000100,0.000001,"[0.000101, 0.0001, 0.0001, 9.8e-05, 0.000101]"
in_256.in,256,2048,4,5,0.000103,0.000004,"[9.7e-05, 0.0001, 0.000104, 0.000108, 0.000104]"
in_256.in,256,4096,4,5,0.000105,0.000005,"[0.000107, 0.0001, 0.000101, 0.000111, 0.000107]"
in_256.in,256,1024,8,5,0.000126,0.000002,"[0.000126, 0.000126, 0.000124, 0.000129, 0.000123]"
in_256.in,256,2048,8,5,0.000141,0.000020,"[0.000133, 0.000176, 0.000126, 0.000137, 0.000135]"
in_256.in,256,4096,8,5,0.000126,0.000004,"[0.000131, 0.000124, 0.00013, 0.000123, 0.000123]"
in_512.in,512,1024,1,5,0.000165,0.000001,"[0.000167, 0.000165, 0.000166, 0.000165, 0.000164]"
in_512.in,512,2048,1,5,0.000166,0.000002,"[0.000165, 0.000168, 0.000164, 0.000166, 0.000167]"
in_512.in,512,4096,1,5,0.000168,0.000003,"[0.000164, 0.000168, 0.000171, 0.000166, 0.000169]"
in_512.in,512,1024,2,5,0.000191,0.000002,"[0.000191, 0.000191, 0.000191, 0.000194, 0.000188]"
in_512.in,512,2048,2,5,0.000190,0.000003,"[0.000185, 0.000192, 0.000192, 0.000191, 0.000191]"
in_512.in,512,4096,2,5,0.000193,0.000010,"[0.000186, 0.000192, 0.000184, 0.000192, 0.000209]"
in_512.in,512,1024,4,5,0.000245,0.000058,"[0.000207, 0.000203, 0.000235, 0.000236, 0.000345]"
in_512.in,512,2048,4,5,0.000222,0.000020,"[0.000258, 0.000208, 0.000218, 0.000212, 0.000214]"
in_512.in,512,4096,4,5,0.000204,0.000008,"[0.000214, 0.000209, 0.000196, 0.000204, 0.000196]"
in_512.in,512,1024,8,5,0.000226,0.000005,"[0.000223, 0.000229, 0.000224, 0.00022, 0.000232]"
in_512.in,512,2048,8,5,0.000227,0.000005,"[0.000227, 0.000235, 0.000225, 0.000225, 0.000222]"
in_512.in,512,4096,8,5,0.000222,0.000008,"[0.000219, 0.000217, 0.000215, 0.000234, 0.000227]"
in_1024.in,1024,1024,1,5,0.000377,0.000005,"[0.000371, 0.000381, 0.000372, 0.000381, 0.000382]"
in_1024.in,1024,2048,1,5,0.000378,0.000007,"[0.000377, 0.000385, 0.000385, 0.000369, 0.000372]"
in_1024.in,1024,4096,1,5,0.000379,0.000004,"[0.000377, 0.000385, 0.000378, 0.000379, 0.000374]"
in_1024.in,1024,1024,2,5,0.000407,0.000003,"[0.000405, 0.000409, 0.000411, 0.000404, 0.000407]"
in_1024.in,1024,2048,2,5,0.000403,0.000004,"[0.000402, 0.000401, 0.000411, 0.000402, 0.000401]"
in_1024.in,1024,4096,2,5,0.000405,0.000004,"[0.000405, 0.000402, 0.000413, 0.000404, 0.000403]"
in_1024.in,1024,1024,4,5,0.000418,0.000007,"[0.000414, 0.00042, 0.000407, 0.000426, 0.000421]"
in_1024.in,1024,2048,4,5,0.000415,0.000007,"[0.000409, 0.000418, 0.000416, 0.000424, 0.000407]"
in_1024.in,1024,4096,4,5,0.000416,0.000005,"[0.000411, 0.000423, 0.000417, 0.000413, 0.000417]"
in_1024.in,1024,1024,8,5,0.000443,0.000005,"[0.000438, 0.000445, 0.000445, 0.000449, 0.000438]"
in_1024.in,1024,2048,8,5,0.000442,0.000009,"[0.00044, 0.000442, 0.000453, 0.000448, 0.000429]"
in_1024.in,1024,4096,8,5,0.000445,0.000012,"[0.000463, 0.000442, 0.000441, 0.000431, 0.000446]"
in_2048.in,2048,1024,1,5,0.000853,0.000018,"[0.000842, 0.000839, 0.000884, 0.000848, 0.000852]"
in_2048.in,2048,2048,1,5,0.000855,0.000011,"[0.000849, 0.000853, 0.000843, 0.000871, 0.00086]"
in_2048.in,2048,4096,1,5,0.000859,0.000023,"[0.00084, 0.00086, 0.000837, 0.000894, 0.000862]"
in_2048.in,2048,1024,2,5,0.000533,0.000006,"[0.000535, 0.000532, 0.000532, 0.000524, 0.00054]"
in_2048.in,2048,2048,2,5,0.000893,0.000011,"[0.000904, 0.000877, 0.000889, 0.000892, 0.000902]"
in_2048.in,2048,4096,2,5,0.000891,0.000018,"[0.000863, 0.000891, 0.000911, 0.0009, 0.000888]"
in_2048.in,2048,1024,4,5,0.000545,0.000006,"[0.000543, 0.000546, 0.000554, 0.000539, 0.000543]"
in_2048.in,2048,2048,4,5,0.000890,0.000008,"[0.000884, 0.0009, 0.000885, 0.000885, 0.000898]"
in_2048.in,2048,4096,4,5,0.000892,0.000006,"[0.000894, 0.000893, 0.000892, 0.000883, 0.000899]"
in_2048.in,2048,1024,8,5,0.000562,0.000002,"[0.000564, 0.000562, 0.000559, 0.000564, 0.000563]"
in_2048.in,2048,2048,8,5,0.000912,0.000025,"[0.000915, 0.000954, 0.000889, 0.000896, 0.000908]"
in_2048.in,2048,4096,8,5,0.000913,0.000010,"[0.000921, 0.000912, 0.000913, 0.000897, 0.000922]"
in_4096.in,4096,1024,1,5,0.001966,0.000014,"[0.001959, 0.001965, 0.001959, 0.00199, 0.001956]"
in_4096.in,4096,2048,1,5,0.001947,0.000037,"[0.001993, 0.001977, 0.001936, 0.001918, 0.00191]"
in_4096.in,4096,4096,1,5,0.001924,0.000014,"[0.001915, 0.001933, 0.001905, 0.001939, 0.001928]"
in_4096.in,4096,1024,2,5,0.001168,0.000021,"[0.001161, 0.001145, 0.001177, 0.001199, 0.001156]"
in_4096.in,4096,2048,2,5,0.001163,0.000013,"[0.001143, 0.001179, 0.001158, 0.001167, 0.001167]"
in_4096.in,4096,4096,2,5,0.001957,0.000016,"[0.001956, 0.001983, 0.001955, 0.001955, 0.001938]"
